particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
20,275,1,1,FruitsAndVegs,celery2,3,0,1.33149279188365,234,2,old,1,FruitsAndVegs,celery2,1,1,1.2351809204556,4,9.91043634712696e-05,4
20,276,1,3,Instruments,frenchhorn,3,0,1.09389102924615,313,2,old,1,Instruments,frenchhorn,1,1,0.730158826801926,6,9.20486636459827e-05,6
20,277,4,6,HouseObjects,flyswatter,3,1,0.712491296231747,74,1,old,4,HouseObjects,flyswatter,1,1,1.09065939066932,6,9.6859410405159e-05,6
20,278,3,6,Instruments,triangle2,3,0,0.626716567203403,186,1,old,3,Instruments,triangle2,1,1,0.588474121876061,6,6.54282048344612e-05,6
20,279,2,4,FruitsAndVegs,cucumber2,1,1,0.805210712365806,355,2,old,2,FruitsAndVegs,cucumber2,1,1,0.819644679781049,5,1.00054780067876,1
20,280,4,5,Instruments,pipepiano,2,1,0.616105978377163,187,1,old,4,Instruments,pipepiano,1,1,0.548343881499022,6,9.78214666247368e-05,6
20,281,2,4,FruitsAndVegs,onion,1,1,0.73050970165059,220,2,old,2,FruitsAndVegs,onion,0,0,1.71482939133421,5,9.55765135586262e-05,5
20,282,3,5,FruitsAndVegs,cabbage2,2,0,0.868920111097395,275,2,old,3,FruitsAndVegs,cabbage2,0,0,2.00865127239376,6,9.39727760851383e-05,6
20,283,4,4,FruitsAndVegs,greenolive2,1,1,1.03151039965451,229,2,old,4,FruitsAndVegs,greenolive2,1,1,0.918304268736392,5,9.46144573390484e-05,5
20,284,4,4,FruitsAndVegs,casabamelon,1,1,0.849723357241601,25,1,old,4,FruitsAndVegs,casabamelon,1,1,1.64737871987745,6,2.9280158621259,4
20,285,4,5,Instruments,pipepiano,2,1,1.01222191844136,187,1,old,4,Instruments,pipepiano,1,1,0.548343881499022,6,9.78214666247368e-05,6
20,286,4,5,Instruments,trombone,2,1,0.694569429848343,302,2,old,4,Instruments,trombone,1,1,1.23336977837607,6,6.54282048344612e-05,6
20,287,1,3,FruitsAndVegs,greenolive,2,0,1.50511414185166,334,2,old,1,FruitsAndVegs,greenolive,0,0,1.18718133866787,5,2.24862897535786,4
20,288,3,4,Instruments,metronome2,2,1,1.59550765063614,203,2,old,3,Instruments,metronome2,1,1,0.796982799191028,6,9.49348323047161e-05,6
