"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","befQ1","P1","variance1","Q2","befQ2","P2","variance2","Q3","befQ3","P3","variance3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
5,2,1,0,1,42,7.76186267341714e-06,2.2075395789247e-05,0.150587433767268,0.0174858223062382,0.998765891712488,0.996490091355657,0.698019733483014,0.0174858223062382,0.00122631072309179,0.00348773170975608,0.151392832749718,0.0174858223062382,0.150587433767268,NA,0,1,0,-2.2075395789247e-05,0.00350990864434275,-0.00348773170975608,28
5,2,2,1,1,43,2.72912489253454e-06,7.76186267341714e-06,0.150295556756122,0.0174858223062382,0.999566078944031,0.998765891712488,0.699126740120834,0.0174858223062382,0.000431179378093589,0.00122631072309179,0.150577703123043,0.0174858223062382,0.699126740120834,NA,0,1,0,-7.76186267341714e-06,0.00123410828751247,-0.00122631072309179,28
4,1,2,0,1,44,0.916301411069761,0.761954113931381,0.570134365681264,0.0174858223062382,0.00351148478307922,0.00998696056036576,0.179197678997192,0.0174858223062382,0.080186282818262,0.228056589579203,0.250667955321544,0.0174858223062382,0.179197678997192,NA,1,0,0,0.238045886068619,-0.00998696056036576,-0.228056589579203,28
4,1,1,1,1,45,0.970570994086015,0.916301411069761,0.657239730051309,0.0174858223062382,0.00123466246885282,0.00351148478307922,0.161279293823252,0.0174858223062382,0.02819405466018,0.080186282818262,0.181480976125439,0.0174858223062382,0.657239730051309,NA,1,0,0,0.0836985889302393,-0.00351148478307922,-0.080186282818262,28
4,1,2,0,1,46,0.989652556869182,0.970570994086015,0.685213217465659,0.0174858223062382,0.000434115909981818,0.00123466246885282,0.154128397676119,0.0174858223062382,0.00991322568203874,0.02819405466018,0.160658384858222,0.0174858223062382,0.154128397676119,NA,1,0,0,0.029429005913985,-0.00123466246885282,-0.02819405466018,28
5,2,1,0,1,47,9.59579290749375e-07,2.72912489253454e-06,0.150192825607971,0.0174858223062382,0.999847430339203,0.999566078944031,0.699515272241637,0.0174858223062382,0.000151605667790657,0.000431179378093589,0.150291902150392,0.0174858223062382,0.150192825607971,NA,0,1,0,-2.72912489253454e-06,0.000433921055968733,-0.000431179378093589,28
4,3,1,0,3,48,0.347968721111512,0.989652556869182,0.694677002694335,0.0174858223062382,0.000152638172823415,0.000434115909981818,0.151547877630061,0.0174858223062382,0.651878605013918,0.00991322568203874,0.153775119675604,0.0174858223062382,0.694677002694335,NA,0,0,1,-0.989652556869182,-0.000434115909981818,0.990086774317961,28
6,3,0,0,1,49,0.227998374188664,0.648446714569838,0.499900523483776,0.0174858223062382,0.00122527821805903,0.00348479517786785,0.185253029492491,0.0174858223062382,0.770776343179561,0.348068477699312,0.314846447023733,0.0174858223062382,NA,NA,0,0,1,-0.648446714569838,-0.00348479517786785,0.651931522300688,28
4,1,3,0,1,50,0.770741268069576,0.347968721111512,0.314279066263405,0.0174858223062382,5.36686430217374e-05,0.000152638172823415,0.18400147773892,0.0174858223062382,0.22920505073442,0.651878605013918,0.501719455997674,0.0174858223062382,0.501719455997674,NA,1,0,0,0.652031278888488,-0.000152638172823415,-0.651878605013918,28
5,2,1,0,1,51,3.37394751612094e-07,9.59579290749375e-07,0.150156691738008,0.0174858223062382,0.999946355446283,0.999847430339203,0.699651796349183,0.0174858223062382,5.33056070721038e-05,0.000151605667790657,0.150191511912809,0.0174858223062382,0.150156691738008,NA,0,1,0,-9.59579290749375e-07,0.000152569660797353,-0.000151605667790657,28
