"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","P1","Q2","P2","Q3","P3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
5,2,2,1,1,42,0.0896624013136382,0.125965082262099,0.532657201733384,0.766910330882692,0.0616338098570439,0.107124586855209,0.766910330882692,NA,0,1,0,-0.103118109649986,0.537477306091931,-0.07088324503772,1
5,2,2,1,1,43,0.0779625056802915,0.0897998769688557,0.593639975834974,0.832199868973108,0.0535913178843995,0.0780002540580361,0.832199868973108,NA,0,1,0,-0.0896624013136382,0.467342798266616,-0.0616338098570439,1
4,1,1,1,1,44,0.498075151237941,0.637477831046496,0.0937546346203977,0.130935041011163,0.192410399406065,0.231587127942341,0.637477831046496,NA,1,0,0,0.577249112586792,-0.107824467684761,-0.221285582061856,1
4,1,1,1,1,45,0.563570478825227,0.74280914934153,0.0815207503597677,0.0973513711025719,0.167303090669743,0.159839479555898,0.74280914934153,NA,1,0,0,0.501924848762059,-0.0937546346203977,-0.192410399406065,1
4,1,1,1,1,46,0.620519431499325,0.816228816655587,0.07088324503772,0.0723789763834875,0.145471992335389,0.111392206960926,0.816228816655587,NA,1,0,0,0.436429521174773,-0.0815207503597677,-0.167303090669743,1
5,2,1,0,1,47,0.0677893097095198,0.0656237272448657,0.516176895889609,0.876317960316464,0.0465982771347134,0.0580583124386702,0.0656237272448657,NA,0,0,0,-0.0779625056802915,-0.593639975834974,-0.0535913178843995,1
4,3,1,0,3,48,0.539548896686072,0.865810640414807,0.0616338098570439,0.0546636123813243,0.126489597229268,0.079525747203869,0.865810640414807,NA,0,0,0,-0.620519431499325,-0.07088324503772,-0.145471992335389,1
6,3,3,1,1,49,0.0465982771347134,0.0734364093787571,0.0465982771347134,0.0734364093787571,0.601374368833704,0.853127181242486,0.853127181242486,NA,0,0,1,-0.0535913178843995,-0.0535913178843995,0.45844769871949,1
4,1,2,0,1,50,0.469144070495518,0.822393032518887,0.0535913178843995,0.0744568864507067,0.109984182868239,0.103150081030406,0.0744568864507067,NA,0,0,0,-0.539548896686072,-0.0616338098570439,-0.126489597229268,1
5,2,3,0,1,51,0.0589435969354034,0.0875590990075987,0.448821842692582,0.833727927567754,0.0405177464866123,0.0787129734246471,0.0787129734246471,NA,0,0,0,-0.0677893097095198,-0.516176895889609,-0.0465982771347134,1
4,1,1,1,1,52,0.538414566049388,0.776206537295194,0.0465982771347134,0.0961445861361659,0.0956325322094961,0.12764887656864,0.776206537295194,NA,1,0,0,0.530855929504482,-0.0535913178843995,-0.109984182868239,1
6,2,3,0,3,53,0.0405177464866123,0.0547843643371528,0.0405177464866123,0.0547843643371528,0.522902040981228,0.890431271325694,0.890431271325694,NA,0,0,0,-0.0465982771347134,-0.0465982771347134,-0.601374368833704,1
5,2,1,0,1,54,0.0512521463129073,0.111018468680392,0.390255836869237,0.787782582922942,0.035230654034855,0.101198948396666,0.111018468680392,NA,0,0,0,-0.0589435969354034,-0.448821842692582,-0.0405177464866123,1
4,1,1,1,1,55,0.598646071384655,0.838610087041034,0.0405177464866123,0.0708015108591798,0.0831536042574116,0.0905884020997861,0.838610087041034,NA,1,0,0,0.461585433950612,-0.0465982771347134,-0.0956325322094961,1
5,2,2,1,1,56,0.0445643401192222,0.134814718115183,0.46982032507336,0.740800796170486,0.0306334653664354,0.124384485714331,0.740800796170486,NA,0,1,0,-0.0512521463129073,0.609744163130763,-0.035230654034855,1
4,1,1,1,1,57,0.651018069100926,0.880705649837986,0.035230654034855,0.0532806949436721,0.0723030305822188,0.0660136552183418,0.880705649837986,NA,1,0,0,0.401353928615345,-0.0405177464866123,-0.0831536042574116,1
5,2,2,1,1,58,0.0387492144843418,0.0960689953063099,0.539002577307105,0.814358344019429,0.0266361560994069,0.0895726606742614,0.814358344019429,NA,0,1,0,-0.0445643401192222,0.53017967492664,-0.0306334653664354,1
