"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs"
"3354","0.1",234,1,1,"DelayedRec",12,0.174136302135123,0.257637980220772
"3355","0.1",235,0,1,"ImmediateRec",12,0.118975282344334,0.251379671913907
"3356","0.5",236,1,0,"ImmediateRec",12,-1.12676786063863e-05,0.684087055438828
"3359","0.5",239,1,1,"ImmediateRec",12,0.727033568377031,0.663332123017194
"3361","0.9",241,1,0,"DelayedRec",12,-0.962054609800805,0.884072136435988
"3362","0.5",242,1,1,"ImmediateRec",12,0.952808446872544,0.667469832706362
"3365","0.9",245,1,0,"DelayedRec",12,-0.765860448940931,0.865934725119228
"3366","0.1",246,0,1,"DelayedRec",12,0.0151529517868416,0.250240712781126
"3367","0.9",247,1,0,"DelayedRec",12,-0.842525485906297,0.882011004777343
"3370","0.1",250,1,1,"DelayedRec",12,0.222544547939728,0.251627598992293
"3374","0.1",254,1,1,"DelayedRec",12,0.00707346312903123,0.238231127941813
"3376","0.5",256,0,0,"DelayedRec",12,-0.387803635730246,0.703811813559925
"3377","0.5",257,0,0,"ImmediateRec",12,-0.503268284608764,0.690351156151199
"3379","0.9",259,0,0,"DelayedRec",12,-0.710063739322453,0.875818073944718
"3383","0.9",263,0,0,"DelayedRec",12,-0.977362862068067,0.911468348191307
"3385","0.5",265,0,0,"DelayedRec",12,-0.264959382331223,0.686715454880599
"3387","0.9",267,1,0,"DelayedRec",12,-0.667764395141369,0.875693569648455
"3390","0.1",270,1,1,"ImmediateRec",12,0.00225597546987866,0.221288739420091
"3391","0.9",271,1,0,"DelayedRec",12,-0.998458648109557,0.915503533096327
"3395","0.5",275,1,0,"DelayedRec",12,-0.0104374975053946,0.683260809766737
"3396","0.5",276,0,0,"DelayedRec",12,-2.41379063632133e-05,0.661389919885442
"3398","0.9",278,0,0,"ImmediateRec",12,-0.851639175378025,0.898387393385838
"3399","0.1",279,0,1,"DelayedRec",12,0.112191781940076,0.253240314280008
"3401","0.1",281,1,0,"DelayedRec",12,-1.19813643657997e-11,0.247088830088378
"3402","0.9",282,1,0,"DelayedRec",12,-0.746169180113022,0.897198510044789
"3407","0.5",287,1,0,"DelayedRec",12,-1.64917607044165e-05,0.681902623381666
"3408","0.9",288,1,0,"DelayedRec",12,-0.82768347503165,0.890979265660614
"3410","0.9",290,0,0,"DelayedRec",12,-0.771175215825743,0.871264877724201
"3411","0.5",291,1,0,"ImmediateRec",12,-0.343848384984164,0.675652783747025
"3413","0.1",293,1,1,"DelayedRec",12,0.296864575250135,0.242202554932286
"3417","0.9",297,1,0,"ImmediateRec",12,-0.526890647813491,0.884265484828455
"3418","0.1",298,0,1,"DelayedRec",12,0.640012089268114,0.284415685420333
"3420","0.9",300,0,0,"ImmediateRec",12,-0.908886006425627,0.888128136481302
"3421","0.9",301,1,0,"DelayedRec",12,-0.7971729833162,0.875607229127137
"3422","0.1",302,0,1,"ImmediateRec",12,0.298760398584748,0.270765970848611
"3423","0.1",303,1,1,"DelayedRec",12,0.20412230154827,0.264188769291892
"3424","0.5",304,0,1,"ImmediateRec",12,0.999988732321394,0.68587013814676
"3425","0.5",305,1,0,"DelayedRec",12,-0.234927801874363,0.681510827319653
"3427","0.5",307,1,0,"ImmediateRec",12,-0.316776913771996,0.673467757633788
"3429","0.5",309,1,0,"DelayedRec",12,-0.0394472229214451,0.677244862914179
"3430","0.1",310,0,1,"DelayedRec",12,0.258958884010619,0.232971007066587
"3431","0.1",311,1,1,"ImmediateRec",12,0.311107004133546,0.2486787651052
"3434","0.5",2,0,1,"DelayedRec",14,0.827510789668586,0.670723785865038
"3437","0.1",5,1,1,"ImmediateRec",14,0.57651456593063,0.481313283162326
"3438","0.9",6,1,0,"ImmediateRec",14,-0.482569985968892,0.767611059220828
"3440","0.9",8,0,0,"DelayedRec",14,-0.461454864668231,0.766990428465602
"3442","0.9",10,1,0,"ImmediateRec",14,-0.366915401310927,0.773462811843956
"3443","0.9",11,1,0,"ImmediateRec",14,-0.329311785803842,0.754029606028498
"3446","0.5",14,0,1,"DelayedRec",14,0.827510789668586,0.671323726041521
"3447","0.5",15,1,0,"DelayedRec",14,-0.264471664784144,0.669477121198074
"3449","0.5",17,0,1,"DelayedRec",14,0.785502778636614,0.67722564186179
"3450","0.1",18,0,1,"DelayedRec",14,0.704437993385245,0.488110560819842
"3451","0.5",19,1,0,"DelayedRec",14,NA,0.679025850871549
"3453","0.9",21,0,0,"ImmediateRec",14,-0.5496022783934,0.796622835228413
"3454","0.9",22,1,0,"DelayedRec",14,-0.474202338329007,0.781229071290984
"3455","0.5",23,1,1,"DelayedRec",14,0.704999904235418,0.660210389052893
"3456","0.1",24,0,1,"ImmediateRec",14,0.506724146402842,0.450030714136854
"3458","0.5",26,0,0,"ImmediateRec",14,-0.213040323892281,0.661965367921446
"3463","0.9",31,1,0,"ImmediateRec",14,-0.627284685164842,0.783440689561465
"3464","0.5",32,0,1,"ImmediateRec",14,0.742702690985662,0.653871891790178
"3465","0.1",33,0,1,"DelayedRec",14,0.437003082615264,0.450942235859742
"3466","0.5",34,1,0,"DelayedRec",14,-0.333413782534171,0.684779481418002
"3471","0.5",39,1,1,"ImmediateRec",14,0.808793282433667,0.692728397933884
"3472","0.9",40,1,0,"ImmediateRec",14,-0.647980140563387,0.800497827344844
"3474","0.9",42,1,0,"ImmediateRec",14,-0.633650505341023,0.793026371773221
"3475","0.5",43,0,0,"ImmediateRec",14,-0.299243606961319,0.693826125205713
"3476","0.9",44,1,0,"ImmediateRec",14,-0.58157138264558,0.78111993119491
