"","X","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"186",246,16,"stim/61.jpeg",6,"Music items",5,15,75,7.825000048,1,10,1
"187",582,16,"stim/11.jpeg",1,"Music items",45,55,15,5.644000053,2,50,1
"188",578,16,"stim/21.jpeg",2,"Household items",45,55,40,8.688999891,2,50,1
"189",581,16,"stim/31.jpeg",3,"Music items",65,75,51,7.513000011,2,70,1
"190",579,16,"stim/41.jpeg",4,"Music items",65,75,60,8.998000145,2,70,1
"191",583,16,"stim/51.jpeg",5,"Household items",5,15,NA,NA,2,10,1
"192",580,16,"stim/61.jpeg",6,"Music items",5,15,75,4.971999884,2,10,1
"193",243,17,"stim/11.jpeg",1,"Household items",45,55,29,4.651000023,1,50,1
"194",245,17,"stim/21.jpeg",2,"Music items",45,55,83,2.115999937,1,50,1
"195",242,17,"stim/31.jpeg",3,"Household items",65,75,10,4.760999918,1,70,1
"196",246,17,"stim/41.jpeg",4,"Household items",65,75,91,2.200000048,1,70,1
"197",241,17,"stim/51.jpeg",5,"Music items",5,15,51,71.56499982,1,10,1
"198",244,17,"stim/61.jpeg",6,"Household items",5,15,37,8.179000139,1,10,1
"199",582,17,"stim/11.jpeg",1,"Household items",45,55,23,4.289999962,2,50,1
"200",583,17,"stim/21.jpeg",2,"Music items",45,55,17,4.557999849,2,50,1
"201",580,17,"stim/31.jpeg",3,"Household items",65,75,11,8.769999981,2,70,1
"202",578,17,"stim/41.jpeg",4,"Household items",65,75,86,6.437000036,2,70,1
"203",579,17,"stim/51.jpeg",5,"Music items",5,15,50,2.686000109,2,10,1
"204",581,17,"stim/61.jpeg",6,"Household items",5,15,40,5.773999929,2,10,1
"205",242,18,"stim/11.jpeg",1,"Music items",45,55,11,9.42200017,1,50,1
"206",246,18,"stim/21.jpeg",2,"Household items",45,55,59,9.84800005,1,50,1
"207",241,18,"stim/31.jpeg",3,"Music items",65,75,24,22.61999989,1,70,1
"208",243,18,"stim/41.jpeg",4,"Music items",65,75,100,6.320000172,1,70,1
"209",245,18,"stim/51.jpeg",5,"Household items",5,15,92,6.917999983,1,10,1
"210",244,18,"stim/61.jpeg",6,"Music items",5,15,90,7.889999866,1,10,1
"211",580,18,"stim/11.jpeg",1,"Music items",45,55,48,12.81399989,2,50,1
"212",581,18,"stim/21.jpeg",2,"Household items",45,55,45,11.12100005,2,50,1
"213",578,18,"stim/31.jpeg",3,"Music items",65,75,87,11.44199991,2,70,1
"214",582,18,"stim/41.jpeg",4,"Music items",65,75,96,10.76300001,2,70,1
"215",583,18,"stim/51.jpeg",5,"Household items",5,15,96,7.666999817,2,10,1
"216",579,18,"stim/61.jpeg",6,"Music items",5,15,99,11.12699986,2,10,1
"217",245,19,"stim/11.jpeg",1,"Household items",45,55,5,4.523999929,1,50,1
"218",242,19,"stim/21.jpeg",2,"Music items",45,55,20,5.453999996,1,50,1
"219",246,19,"stim/31.jpeg",3,"Household items",65,75,60,8.470000029,1,70,1
"220",241,19,"stim/41.jpeg",4,"Household items",65,75,50,7.187999964,1,70,1
"221",244,19,"stim/51.jpeg",5,"Music items",5,15,50,4.601000071,1,10,1
"222",243,19,"stim/61.jpeg",6,"Household items",5,15,85,8.31099987,1,10,1
"223",579,19,"stim/11.jpeg",1,"Household items",45,55,5,6.383999825,2,50,1
"224",578,19,"stim/21.jpeg",2,"Music items",45,55,5,6.072999954,2,50,1
"225",583,19,"stim/31.jpeg",3,"Household items",65,75,50,3.932999849,2,70,1
"226",580,19,"stim/41.jpeg",4,"Household items",65,75,55,11.24600005,2,70,1
"227",582,19,"stim/51.jpeg",5,"Music items",5,15,85,4.632999897,2,10,1
"228",581,19,"stim/61.jpeg",6,"Household items",5,15,70,4.051000118,2,10,1
"229",246,20,"stim/11.jpeg",1,"Household items",45,55,40,4.396999836,1,50,1
"230",243,20,"stim/21.jpeg",2,"Music items",45,55,30,7.986000061,1,50,1
"231",241,20,"stim/31.jpeg",3,"Household items",65,75,10,8.578999996,1,70,1
"232",245,20,"stim/41.jpeg",4,"Household items",65,75,75,7.465000153,1,70,1
"233",242,20,"stim/51.jpeg",5,"Music items",5,15,95,3.835000038,1,10,1
"234",244,20,"stim/61.jpeg",6,"Household items",5,15,90,4.428999901,1,10,1
"235",583,20,"stim/11.jpeg",1,"Household items",45,55,24,3.256999969,2,50,1
"236",582,20,"stim/21.jpeg",2,"Music items",45,55,70,7.340000153,2,50,1
"237",578,20,"stim/31.jpeg",3,"Household items",65,75,16,10.07800007,2,70,1
"238",581,20,"stim/41.jpeg",4,"Household items",65,75,80,5.986999989,2,70,1
"239",580,20,"stim/51.jpeg",5,"Music items",5,15,90,3.336000204,2,10,1
"240",579,20,"stim/61.jpeg",6,"Household items",5,15,94,5.820000172,2,10,1
"241",243,21,"stim/11.jpeg",1,"Music items",45,55,19,9.428999901,1,50,1
"242",244,21,"stim/21.jpeg",2,"Household items",45,55,23,5.960999966,1,50,1
"243",241,21,"stim/31.jpeg",3,"Music items",65,75,33,10.26400018,1,70,1
"244",242,21,"stim/41.jpeg",4,"Music items",65,75,58,5.128999949,1,70,1
"245",245,21,"stim/51.jpeg",5,"Household items",5,15,44,8.412999868,1,10,1
"246",246,21,"stim/61.jpeg",6,"Music items",5,15,35,12.85900021,1,10,1
"247",582,21,"stim/11.jpeg",1,"Music items",45,55,10,7.246000051,2,50,1
"248",583,21,"stim/21.jpeg",2,"Household items",45,55,28,6.378999949,2,50,1
"249",579,21,"stim/31.jpeg",3,"Music items",65,75,37,6.263000011,2,70,1
"250",580,21,"stim/41.jpeg",4,"Music items",65,75,50,4.702000141,2,70,1
"251",581,21,"stim/51.jpeg",5,"Household items",5,15,54,5.350000143,2,10,1
"252",578,21,"stim/61.jpeg",6,"Music items",5,15,76,9.104000092,2,10,1
"253",244,22,"stim/11.jpeg",1,"Household items",45,55,35,6.684999943,1,50,1
"254",245,22,"stim/21.jpeg",2,"Music items",45,55,9,4.644000053,1,50,1
"255",246,22,"stim/31.jpeg",3,"Household items",65,75,21,5.072999954,1,70,1
"256",243,22,"stim/41.jpeg",4,"Household items",65,75,97,5.42200017,1,70,1
"257",241,22,"stim/51.jpeg",5,"Music items",5,15,34,8.513999939,1,10,1
"258",242,22,"stim/61.jpeg",6,"Household items",5,15,61,8.825999975,1,10,1
"259",582,22,"stim/11.jpeg",1,"Household items",45,55,34,5.386000156,2,50,1
"260",580,22,"stim/21.jpeg",2,"Music items",45,55,26,6.705000162,2,50,1
"261",583,22,"stim/31.jpeg",3,"Household items",65,75,17,4.854999781,2,70,1
"262",581,22,"stim/41.jpeg",4,"Household items",65,75,90,5.275000095,2,70,1
"263",578,22,"stim/51.jpeg",5,"Music items",5,15,46,7.965999842,2,10,1
"264",579,22,"stim/61.jpeg",6,"Household items",5,15,60,5.878000021,2,10,1
"265",245,23,"stim/11.jpeg",1,"Music items",45,55,70,3.680000067,1,50,1
"266",242,23,"stim/21.jpeg",2,"Household items",45,55,80,3.088999987,1,50,1
"267",243,23,"stim/31.jpeg",3,"Music items",65,75,57,7.23300004,1,70,1
"268",244,23,"stim/41.jpeg",4,"Music items",65,75,80,4.394000053,1,70,1
"269",246,23,"stim/51.jpeg",5,"Household items",5,15,80,5.319000006,1,10,1
"270",241,23,"stim/61.jpeg",6,"Music items",5,15,86,5.375999928,1,10,1
"271",580,23,"stim/11.jpeg",1,"Music items",45,55,52,6.435000181,2,50,1
"272",579,23,"stim/21.jpeg",2,"Household items",45,55,35,6.499000072,2,50,1
"273",582,23,"stim/31.jpeg",3,"Music items",65,75,57,4.38499999,2,70,1
"274",583,23,"stim/41.jpeg",4,"Music items",65,75,84,2.683000088,2,70,1
"275",581,23,"stim/51.jpeg",5,"Household items",5,15,75,2.756000042,2,10,1
"276",578,23,"stim/61.jpeg",6,"Music items",5,15,80,9.817000151,2,10,1
"277",245,24,"stim/11.jpeg",1,"Household items",45,55,74,2.812999964,1,50,1
"278",243,24,"stim/21.jpeg",2,"Music items",45,55,94,3.27699995,1,50,1
"279",246,24,"stim/31.jpeg",3,"Household items",65,75,19,2.907999992,1,70,1
"280",242,24,"stim/41.jpeg",4,"Household items",65,75,41,4.211000204,1,70,1
"281",241,24,"stim/51.jpeg",5,"Music items",5,15,13,4.154999971,1,10,1
"282",244,24,"stim/61.jpeg",6,"Household items",5,15,26,4.893999815,1,10,1
"283",582,24,"stim/11.jpeg",1,"Household items",45,55,89,2.977999926,2,50,1
"284",579,24,"stim/21.jpeg",2,"Music items",45,55,94,3.880000114,2,50,1
"285",578,24,"stim/31.jpeg",3,"Household items",65,75,39,5.157000065,2,70,1
"286",581,24,"stim/41.jpeg",4,"Household items",65,75,20,1.898000002,2,70,1
"287",580,24,"stim/51.jpeg",5,"Music items",5,15,27,2.72300005,2,10,1
