"","X","participant","trialN","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"22580",387,70,380,0.9,"stim/51.jpeg",5,1,3,2,"Instruments",2,"stim/objects/Instruments/musicstand.png",4,"right","right",0.43599987,1,1,1
"22581",388,70,381,0.9,"stim/62.jpeg",6,2,3,2,"HouseObjects",1,"stim/objects/HouseObjects/knife.png",4,"left","left",0.520999908,1,1,1
"22582",389,70,382,0.1,"stim/63.jpeg",6,3,3,1,"Instruments",2,"stim/objects/Instruments/vuvuzela2.png",2,"right","left",0.578999758,0,0,1
"22583",390,70,383,0.9,"stim/53.jpeg",5,3,3,2,"Instruments",2,"stim/objects/Instruments/marimba.png",4,"right","right",0.494999886,1,1,1
"22584",391,70,384,0.9,"stim/53.jpeg",5,3,3,2,"Instruments",2,"stim/objects/Instruments/metronome.png",3,"right","",NA,0,0,1
"22585",392,70,385,0.3,"stim/41.jpeg",4,1,2,1,"Instruments",2,"stim/objects/Instruments/keyboard2.png",4,"right","left",0.638999939,0,0,1
"22586",393,70,386,0.9,"stim/51.jpeg",5,1,3,1,"Instruments",2,"stim/objects/Instruments/pipepiano2.png",1,"right","right",0.511999846,1,1,1
"22587",394,70,387,0.9,"stim/63.jpeg",6,3,3,2,"HouseObjects",1,"stim/objects/HouseObjects/pan.png",1,"left","left",0.612999916,1,1,1
"22588",395,70,388,0.9,"stim/51.jpeg",5,1,3,2,"Instruments",2,"stim/objects/Instruments/musicsheet.png",2,"right","right",0.486000061,1,1,1
"22589",396,70,389,0.7,"stim/32.jpeg",3,2,2,2,"Instruments",2,"stim/objects/Instruments/hihat.png",2,"right","right",0.558999777,1,1,1
"22590",397,70,390,0.9,"stim/61.jpeg",6,1,3,2,"HouseObjects",1,"stim/objects/HouseObjects/knife.png",3,"left","left",0.566999912,1,1,1
"22591",398,70,391,0.9,"stim/53.jpeg",5,3,3,2,"Instruments",2,"stim/objects/Instruments/musicstand.png",3,"right","right",0.486999989,1,1,1
