"","X","participant","iteration_index","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","rating_acc","corr_rat","group"
"135",748,6,3,"stim/31.jpeg",3,"Music items",65,75,30,5.381000042,0,70,1
"136",745,6,3,"stim/41.jpeg",4,"Music items",65,75,61,94.03699994,0,70,1
"137",747,6,3,"stim/51.jpeg",5,"Household items",5,15,70,4.780999899,0,10,1
"138",749,6,3,"stim/61.jpeg",6,"Music items",5,15,85,5.231000185,0,10,1
"139",997,6,4,"stim/11.jpeg",1,"Music items",45,55,14,2.809000015,0,50,1
"140",996,6,4,"stim/21.jpeg",2,"Household items",45,55,13,5.435000181,0,50,1
"141",992,6,4,"stim/31.jpeg",3,"Music items",65,75,41,5.371000051,0,70,1
"142",995,6,4,"stim/41.jpeg",4,"Music items",65,75,60,4.220000029,0,70,1
"143",994,6,4,"stim/51.jpeg",5,"Household items",5,15,60,3.571000099,0,10,1
"144",993,6,4,"stim/61.jpeg",6,"Music items",5,15,61,2.736000061,0,10,1
"145",255,7,1,"stim/11.jpeg",1,"Household items",45,55,10,5.036000013,0,50,1
"146",253,7,1,"stim/21.jpeg",2,"Music items",45,55,10,6.637000084,0,50,1
"147",254,7,1,"stim/31.jpeg",3,"Household items",65,75,0,4,0,70,1
"148",251,7,1,"stim/41.jpeg",4,"Household items",65,75,90,12.27800012,0,70,1
"149",256,7,1,"stim/51.jpeg",5,"Music items",5,15,20,8.840000153,0,10,1
"150",252,7,1,"stim/61.jpeg",6,"Household items",5,15,50,5.000999928,0,10,1
"151",498,7,2,"stim/11.jpeg",1,"Household items",45,55,10,10.35100007,0,50,1
"152",500,7,2,"stim/21.jpeg",2,"Music items",45,55,13,7.097999811,0,50,1
"153",503,7,2,"stim/31.jpeg",3,"Household items",65,75,4,5.661999941,0,70,1
"154",502,7,2,"stim/41.jpeg",4,"Household items",65,75,92,6.820999861,0,70,1
"155",501,7,2,"stim/51.jpeg",5,"Music items",5,15,50,3.433000088,0,10,1
"156",499,7,2,"stim/61.jpeg",6,"Household items",5,15,70,11.40400004,0,10,1
"157",750,7,3,"stim/11.jpeg",1,"Household items",45,55,14,5.984999895,0,50,1
"158",748,7,3,"stim/21.jpeg",2,"Music items",45,55,20,6.638999939,0,50,1
"159",749,7,3,"stim/31.jpeg",3,"Household items",65,75,6,4.701999903,0,70,1
"160",747,7,3,"stim/41.jpeg",4,"Household items",65,75,95,4.54700017,0,70,1
"161",745,7,3,"stim/51.jpeg",5,"Music items",5,15,60,6.171999931,0,10,1
"162",746,7,3,"stim/61.jpeg",6,"Household items",5,15,57,10.57500005,0,10,1
"163",993,7,4,"stim/11.jpeg",1,"Household items",45,55,20,5.582999945,0,50,1
"164",995,7,4,"stim/21.jpeg",2,"Music items",45,55,16,9.455000162,0,50,1
"165",997,7,4,"stim/31.jpeg",3,"Household items",65,75,10,5.736999989,0,70,1
"166",996,7,4,"stim/41.jpeg",4,"Household items",65,75,90,4.417999983,0,70,1
"167",994,7,4,"stim/51.jpeg",5,"Music items",5,15,40,9.72300005,0,10,1
"168",992,7,4,"stim/61.jpeg",6,"Household items",5,15,45,8.812999964,0,10,1
"169",252,8,1,"stim/11.jpeg",1,"Music items",45,55,70,3.75999999,0,50,1
"170",251,8,1,"stim/21.jpeg",2,"Household items",45,55,74,19.90500021,0,50,1
"171",253,8,1,"stim/31.jpeg",3,"Music items",65,75,40,4.746000051,0,70,1
"172",255,8,1,"stim/41.jpeg",4,"Music items",65,75,80,11.3900001,0,70,1
"173",256,8,1,"stim/51.jpeg",5,"Household items",5,15,80,3.993999958,0,10,1
"174",254,8,1,"stim/61.jpeg",6,"Music items",5,15,20,3.776000023,0,10,1
"175",499,8,2,"stim/11.jpeg",1,"Music items",45,55,30,9.911000013,0,50,1
"176",503,8,2,"stim/21.jpeg",2,"Household items",45,55,70,6.101999998,0,50,1
"177",500,8,2,"stim/31.jpeg",3,"Music items",65,75,50,4.381999969,0,70,1
"178",501,8,2,"stim/41.jpeg",4,"Music items",65,75,10,3.825999975,0,70,1
"179",502,8,2,"stim/51.jpeg",5,"Household items",5,15,80,2.703999996,0,10,1
"180",498,8,2,"stim/61.jpeg",6,"Music items",5,15,80,5.580999851,0,10,1
"181",749,8,3,"stim/11.jpeg",1,"Music items",45,55,65,7.278000116,1,50,1
"182",748,8,3,"stim/21.jpeg",2,"Household items",45,55,50,4.614000082,1,50,1
"183",750,8,3,"stim/31.jpeg",3,"Music items",65,75,68,3.628000021,2,70,1
"184",746,8,3,"stim/41.jpeg",4,"Music items",65,75,90,15.17000008,0,70,1
"185",745,8,3,"stim/51.jpeg",5,"Household items",5,15,90,7.742000103,0,10,1
"186",747,8,3,"stim/61.jpeg",6,"Music items",5,15,90,2.072999954,0,10,1
