"","obj_file","X.x","participant.x","trialN.x","trial_cond","scn_file.x","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group.x","practice","X.y","participant.y","OvsN","PE_level","object_cat","scn_file.y","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN.y","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group.y"
"390","stim/objects/HouseObjects/sponge.png",545,67,538,0.5,"stim/63.jpeg",6,3,1,1,"HouseObjects",1,1,"left","right",0.646999836,0,0,1,0,83,67,1,0.5,2,"stim/63.jpeg",6,3,"stim/63.jpeg",1,"right",0.819999933,4,4,1.398000002,1,0.813999891,83,0,0,NA,1,NA,0
"288","stim/objects/HouseObjects/dishsoap.png",546,67,539,0.7,"stim/22.jpeg",2,2,2,2,"HouseObjects",1,2,"left","left",0.464999914,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","stim/objects/HouseObjects/dustpan.png",547,67,540,0.9,"stim/43.jpeg",4,3,3,2,"HouseObjects",1,2,"left","right",0.445999861,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","stim/objects/Instruments/timbal.png",548,67,541,0.5,"stim/62.jpeg",6,2,1,1,"Instruments",2,4,"right","left",0.598999977,0,0,1,0,14,67,1,0.5,2,"stim/62.jpeg",6,2,"stim/62.jpeg",4,"right",1.053999901,3,4,3.621000051,2,3.409999847,14,0,0,NA,0,NA,0
"454","stim/objects/Instruments/electricguitar.png",549,67,542,0.7,"stim/13.jpeg",1,3,2,2,"Instruments",2,2,"right","right",0.528000116,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","stim/objects/Instruments/gong.png",550,67,543,0.9,"stim/31.jpeg",3,1,3,2,"Instruments",2,3,"right","right",0.584000111,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","stim/objects/HouseObjects/doormat.png",551,67,544,0.9,"stim/41.jpeg",4,1,3,2,"HouseObjects",1,4,"left","left",0.542000055,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","stim/objects/Instruments/trumpet.png",552,67,545,0.7,"stim/12.jpeg",1,2,2,1,"Instruments",2,4,"right","right",0.698999882,1,1,1,0,101,67,1,0.7,2,"stim/12.jpeg",1,2,"stim/12.jpeg",4,"left",1.058999777,3,4,1.04399991,2,1.128000021,101,1,0,0,0,0,0
"520","stim/objects/Instruments/gong.png",553,67,546,0.9,"stim/34.jpeg",3,4,3,2,"Instruments",2,1,"right","right",0.649999857,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","stim/objects/Instruments/chime.png",554,67,547,0.5,"stim/61.jpeg",6,1,1,2,"Instruments",2,3,"right","left",0.520999908,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","stim/objects/Instruments/doublebass.png",555,67,548,0.7,"stim/14.jpeg",1,4,2,2,"Instruments",2,4,"right","right",0.563999891,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
