"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","befQ1","P1","variance1","Q2","befQ2","P2","variance2","Q3","befQ3","P3","variance3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
6,3,3,1,1,11,0.298300589704195,0.313750210521657,0.302894163502433,0.0174858223062382,0.298300589704195,0.313750210521657,0.302894163502433,0.0174858223062382,0.394359408782392,0.362991996819665,0.394211672995134,0.0174858223062382,0.394211672995134,NA,0,0,1,-0.313750210521657,-0.313750210521657,0.637008003180334,1
2,3,2,0,2,12,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.362991996819665,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,0,1,-0.33,-0.33,0.67,1
5,2,1,0,1,13,0.328123414270332,0.345117622484384,0.358236913595892,0.0174858223062382,0.379670554891609,0.347542376002203,0.362915480996359,0.0174858223062382,0.283611735813411,0.298300589704195,0.278847605407749,0.0174858223062382,0.358236913595892,NA,0,1,0,-0.345117622484384,0.652457623997797,-0.298300589704195,1
4,1,1,1,1,14,0.432677575237125,0.403294742462569,0.470442387360147,0.0174858223062382,0.303185360174646,0.318887973624888,0.299463555598554,0.0174858223062382,0.256368327394457,0.26964618732688,0.230094057041299,0.0174858223062382,0.470442387360147,NA,1,0,0,0.596705257537431,-0.318887973624888,-0.26964618732688,1
5,2,2,1,1,15,0.311966031225459,0.328123414270332,0.321989710769435,0.0174858223062382,0.410216684861998,0.379670554891609,0.424266013741946,0.0174858223062382,0.26964618732688,0.283611735813411,0.253744275488619,0.0174858223062382,0.424266013741946,NA,0,1,0,-0.328123414270332,0.620329445108391,-0.283611735813411,1
6,3,3,1,1,16,0.283611735813411,0.298300589704195,0.272329522276173,0.0174858223062382,0.283611735813411,0.298300589704195,0.272329522276173,0.0174858223062382,0.424182233348529,0.394359408782392,0.455340955447654,0.0174858223062382,0.455340955447654,NA,0,0,1,-0.298300589704195,-0.298300589704195,0.605640591217607,1
6,1,3,0,3,17,0.318887973624888,0.283611735813411,0.242617257377623,0.0174858223062382,0.26964618732688,0.283611735813411,0.242617257377623,0.0174858223062382,0.403294742462569,0.424182233348529,0.514765485244753,0.0174858223062382,0.514765485244753,NA,1,0,0,0.716388264186589,-0.283611735813411,-0.424182233348529,1
6,3,2,0,1,18,0.303185360174646,0.318887973624888,0.299463555598554,0.0174858223062382,0.256368327394457,0.26964618732688,0.230094057041299,0.0174858223062382,0.432677575237125,0.403294742462569,0.470442387360147,0.0174858223062382,0.230094057041299,NA,0,0,1,-0.318887973624888,-0.26964618732688,0.596705257537431,1
6,3,3,1,1,19,0.288255971460242,0.303185360174646,0.264691571985381,0.0174858223062382,0.243744293003321,0.256368327394457,0.206032958130595,0.0174858223062382,0.460613544839367,0.432677575237125,0.529275469884025,0.0174858223062382,0.529275469884025,NA,0,0,1,-0.303185360174646,-0.256368327394457,0.567322424762875,1
6,3,3,1,1,20,0.274061732514472,0.288255971460242,0.232385956980747,0.0174858223062382,0.231741888615893,0.243744293003321,0.183131958306683,0.0174858223062382,0.487173897396427,0.460613544839367,0.58448208471257,0.0174858223062382,0.58448208471257,NA,0,0,1,-0.288255971460242,-0.243744293003321,0.539386455160634,1
