key_resp_pract.keys,key_resp_pract.rt,trial_acc,trial_index,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,practice_loop.order,scn_condition,scn_cat,scn_inst,scn_file,obj_cat,obj_cat_num,obj_file,trial_cond,quadrant,obj_x,obj_y,corr_ans,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.rt,iterations.thisRepN,iterations.thisTrialN,iterations.thisN,iterations.thisIndex,iterations.ran,iterations.order,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order
,,1,231,,,,,,,3,3,4,stim/34.jpeg,Instruments,2,stim/objects/Instruments/oboe2.png,0.9,1,-0.2,0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.006999969,4,0,4,0,1,3,1,0,240,183,1,239
,,1,232,,,,,,,3,4,1,stim/41.jpeg,HouseObjects,1,stim/objects/HouseObjects/recyclingbin2.png,0.9,1,-0.2,0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.82799983,4,0,4,0,1,3,1,0,240,208,1,239
,,1,233,,,,,,,3,3,1,stim/31.jpeg,Instruments,2,stim/objects/Instruments/metronome2.png,0.9,4,0.2,-0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.96600008,4,0,4,0,1,3,1,0,240,168,1,239
,,0,234,,,,,,,3,4,3,stim/43.jpeg,HouseObjects,1,stim/objects/HouseObjects/rubbergloves2.png,0.9,3,-0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.339999914,4,0,4,0,1,3,1,0,240,230,1,239
,,0,235,,,,,,,2,2,1,stim/21.jpeg,HouseObjects,1,stim/objects/HouseObjects/iron2.png,0.7,2,0.2,0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.608999968,4,0,4,0,1,3,1,0,240,144,1,239
,,1,236,,,,,,,3,4,2,stim/42.jpeg,HouseObjects,1,stim/objects/HouseObjects/remote2.png,0.9,2,0.2,0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.953000069,4,0,4,0,1,3,1,0,240,225,1,239
,,1,237,,,,,,,3,4,2,stim/42.jpeg,HouseObjects,1,stim/objects/HouseObjects/remote2.png,0.9,3,-0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,left,0.770999908,4,0,4,0,1,3,1,0,240,205,1,239
,,0,238,,,,,,,3,3,2,stim/32.jpeg,HouseObjects,1,stim/objects/HouseObjects/match2.png,0.1,4,0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.301000118,4,0,4,0,1,3,1,0,240,161,1,239
,,0,239,,,,,,,3,4,4,stim/44.jpeg,HouseObjects,1,stim/objects/HouseObjects/rug2.png,0.9,4,0.2,-0.15,left,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,0.710999966,4,0,4,0,1,3,1,0,240,211,1,239
,,1,240,,,,,,,3,3,2,stim/32.jpeg,Instruments,2,stim/objects/Instruments/musicsheet2.png,0.9,4,0.2,-0.15,right,22,2020-12-02_18h09.35.347,premup-three_ses-01_part-01_label-phase1,3.2.4,Win32,60,right,1.085000038,4,0,4,0,1,3,1,0,240,181,1,239
